date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:27	1008/1008	---M--	200	added ('OK')	image/png	etag:%227a82916570f44266ea7cc47876c6670f%22	https://d2eanzqpmoo3ec.cloudfront.net/images/vendor.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/vendor.png	(from https://www.wedmegood.com/)
23:00:27	1055/1055	---M--	200	added ('OK')	image/png	etag:%2226164962d60ac4368e43b5f84fb98c90%22	https://d2eanzqpmoo3ec.cloudfront.net/images/photos.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/photos.png	(from https://www.wedmegood.com/)
23:00:27	1761/1761	---M--	200	added ('OK')	image/png	etag:%228ded99032ae87e2b1c817d5571074c36%22	https://d2eanzqpmoo3ec.cloudfront.net/images/realweddings.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/realweddings.png	(from https://www.wedmegood.com/)
23:00:28	885/885	---M--	200	added ('OK')	image/png	etag:%22417d593f53e115f7295fa4b553688f55%22	https://d2eanzqpmoo3ec.cloudfront.net/images/articles.png	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/images/articles.png	(from https://www.wedmegood.com/)
23:00:28	16116/16116	---MC-	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202016%2017:31:50%20GMT	https://www.wedmegood.com/facebook/authentication	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/facebook/authentication.2a.delayed	(from https://www.wedmegood.com/)
23:00:29	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2015%20Feb%202016%2017:31:50%20GMT	http://www.wedmegood.com/facebook_login.php	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/facebook_login.2b.delayed	(from https://www.wedmegood.com/)
23:00:30	224/224	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Feb%202016%2017:31:51%20GMT	https://www.wedmegood.com/facebook_login.php	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/facebook_login.2c.delayed	(from https://www.wedmegood.com/)
23:00:30	236528/236528	---M--	200	added ('OK')	image/jpeg	etag:%2234b432316ead123f1bbd78c4ea193b43%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/banner_images/1454913921_1_pinkdecor123.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/banner_images/1454913921_1_pinkdecor123.jpg	(from https://www.wedmegood.com/)
23:00:31	213335/213335	---M--	200	added ('OK')	image/jpeg	etag:%22abbe472d383be05c777d3efc3fecb445%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/banner_images/1263x500+new+final.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/banner_images/1263x500+new+final.jpg	(from https://www.wedmegood.com/)
23:00:31	143814/143814	---M--	200	added ('OK')	image/jpeg	etag:%22006f403ab8d1b034b74b0ab4bbb9069f%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/banner_images/Morvi%20banner.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/banner_images/Morvi%20banner.jpg	(from https://www.wedmegood.com/)
23:00:32	118826/118826	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:52%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/4/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/4/location/all.html	(from https://www.wedmegood.com/)
23:00:32	119474/119474	---M--	200	added ('OK')	image/jpeg	etag:%22a93d3e93f65396cbcd79f95cc0026032%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/12080630.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/12080630.jpg	(from https://www.wedmegood.com/)
23:00:33	51589/51589	---M--	200	added ('OK')	image/jpeg	etag:%22b57f718ed31d32de787b910a6d9d26fb%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/957334516.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/957334516.jpg	(from https://www.wedmegood.com/)
